extension,UTI,preferred_extension
cpp,public.c-plus-plus-source,cp
crt,public.x509-certificate,cer
crw,com.canon.crw-raw-image,crw
crx,org.chromium.extension,crx
cr2,com.canon.cr2-raw-image,cr2
cr3,com.canon.cr3-raw-image,cr3
csh,public.csh-script,csh
css,public.css,css
cst,com.apple.logic.channelstripsetting,cst
csv,public.comma-separated-values-text,csv
cwk,com.apple.appleworks.document,cwk
cxx,public.c-plus-plus-source,cp
dae,org.khronos.collada.digital-asset-exchange,dae
dat,com.microsoft.outlook.dat,dat
dcm,org.nema.dicom,dcm
dcr,com.kodak.raw-image,dcr
dds,com.microsoft.dds,dds
deb,org.debian.deb-archive,deb
der,public.x509-certificate,cer
dib,com.microsoft.bmp,bmp
dic,com.microsoft.word.dictionary,dic
dif,public.dv-movie,dv
dll,com.microsoft.windows-dynamic-link-library,dll
dls,public.downloadable-sound,dls
dmg,com.apple.disk-image-udif,dmg
dng,com.adobe.raw-image,dng
doc,com.microsoft.word.doc,doc
dot,com.microsoft.word.dot,dot
dts,org.videolan.dts,dts
dvi,org.tug.tex.dvi,dvi
dxf,com.autodesk.dxf,dxf
dxo,com.dxo.raw-image,dxo
ec3,public.enhanced-ac3-audio,eac3
edn,com.adobe.edn,edn
efx,com.j2.efx-fax,efx
egg,org.python.python-egg,egg
eml,com.apple.mail.email,eml
eps,com.adobe.encapsulated-postscript,eps
erf,com.epson.raw-image,erf
etd,com.adobe.etd,etd
exe,com.microsoft.windows-executable,exe
exp,com.apple.symbol-export,exp
exr,com.ilm.openexr-image,exr
exs,com.apple.logic.exs,exs
fdf,com.adobe.fdf,fdf
fff,com.hasselblad.fff-raw-image,fff
flc,public.flc-animation,flc
fli,public.flc-animation,flc
flv,com.adobe.flash.video,flv
for,public.fortran-source,f
fpx,com.kodak.flashpix-image,fpx
fsh,org.khronos.glsl.fragment-shader,fs
f4a,com.adobe.flash.video,flv
f4b,com.adobe.flash.video,flv
f4p,com.adobe.flash.video,flv
f4v,com.adobe.flash.video,flv
f77,public.fortran-77-source,f77
f90,public.fortran-90-source,f90
f95,public.fortran-95-source,f95
gif,com.compuserve.gif,gif
gmk,public.make-source,make
gpx,com.topografix.gpx,gpx
gsh,org.khronos.glsl.geometry-shader,gs
gxf,org.videolan.gxf,gxf
hdd,com.parallels.vm.vmhdd,hdd
hdr,public.radiance,pic
hds,com.parallels.vm.vmhdd,hdd
hif,public.heif,heif
hpp,public.c-plus-plus-header,hh
hqx,com.apple.binhex-archive,hqx
htm,public.html,html
hxx,public.c-plus-plus-header,hh
iba,com.apple.ibooksauthor.book,iba
icc,com.apple.colorsync-profile,icc
icm,com.apple.colorsync-profile,icc
ico,com.microsoft.ico,ico
ics,com.apple.ical.ics,ics
